"","term","estimate","std.error","statistic","p.value"
"137","FTI_reading120",0.0243927041491244,0.151193126448275,0.161334742670789,0.871843267237571
"138","FTI_reading121",0.0090907146417148,0.150658113193451,0.0603400271583247,0.95188981976156
"139","FTI_reading122",0.0439241051231541,0.152882134914671,0.28730698421807,0.773901945219673
"140","FTI_reading123",0.0533144816441528,0.152700317962262,0.349144535883212,0.727011267031607
"141","FTI_reading124",0.0627796498496081,0.151702226164488,0.413834730292864,0.679031925154599
"142","FTI_reading125",0.0327967097981168,0.152326509335152,0.215305332875164,0.829547467751222
"143","FTI_reading126",0.0453347670823061,0.154198454367917,0.294002733478362,0.768781100916153
"144","FTI_reading127",0.049183190655329,0.155349183792342,0.316597676631974,0.751576284757784
"145","FTI_reading128",0.00112220905654782,0.159618810716804,0.00703055643321918,0.994391054946702
"146","FTI_reading129",0.00834729707820606,0.155803180430745,0.0535759093949721,0.957277485432194
"147","FTI_reading13",-0.0190082094804607,0.170209300923746,-0.111675504084094,0.911089990942774
"148","FTI_reading130",0.0857337839029364,0.156627223166036,0.547374729436738,0.584171934182968
"149","FTI_reading131",0.0761155577184176,0.159768686071137,0.476410988850012,0.633824741958618
"150","FTI_reading132",0.0462309909412483,0.159782798526388,0.289336470306053,0.77234876238289
"151","FTI_reading133",-0.00194832385971957,0.161231322718177,-0.0120840282574939,0.990359574017583
"152","FTI_reading134",0.0424815537161698,0.158401674962889,0.268188791097837,0.78857692623104
"153","FTI_reading135",0.00541264210480737,0.161719072147958,0.0334694110775957,0.973303026743869
"154","FTI_reading136",0.01679899112516,0.164754148330423,0.101963994809216,0.918793725975908
"155","FTI_reading137",-0.0539327997611441,0.16416941503361,-0.328519168750784,0.742547659072664
"156","FTI_reading138",0.0360729274258155,0.162318631945571,0.222235284966617,0.824149534591214
"157","FTI_reading139",0.0155146862743962,0.165240461274888,0.0938915696234137,0.925203085865037
"158","FTI_reading14",-0.00810528497058663,0.14900806034884,-0.0543949431434212,0.956625010651767
"159","FTI_reading140",0.00523739323385316,0.167056830290012,0.0313509673609933,0.974992237058785
"160","FTI_reading141",-0.00347977194701736,0.169706607189322,-0.0205046344667971,0.983642510372916
"161","FTI_reading142",0.0212836572823003,0.168819216293817,0.126073664773196,0.89968411677561
"162","FTI_reading143",0.0833933279777249,0.167433269760033,0.49806904026449,0.618480770686117
"163","FTI_reading144",0.0122677525893978,0.170311196607242,0.0720313921443977,0.942582894978971
"164","FTI_reading145",0.102808206469909,0.164801759132129,0.623829545335636,0.532798500465377
